1865    1865-06-11	3003
1895	1895-05-07	4234
1895	1895-05-14	2748
1895	1895-05-14	2789
1895	1895-05-14	2790
1895	1895-05-14	2806
1895	1895-05-14	2833
1895	1895-05-14	2849
1895	1895-05-14	2871
1895	1895-05-14	2872
1895	1895-05-14	3371
1895	1895-05-14	3390
1895	1895-05-14	3435
1895	1895-05-14	4458
1895	1895-05-21	2864
1895	1895-05-21	2878
1895	1895-05-21	2884
1895	1895-05-21	2886
1895	1895-05-21	2889
1895	1895-05-21	2909
1895	1895-05-21	2914
1895	1895-05-21	2955
1895	1895-05-21	3356
1895	1895-05-21	3391
1895	1895-05-21	3392
1895	1895-06-04	2834
1895	1895-06-04	2913
1895	1895-06-04	2919
1895	1895-06-04	2942
1895	1895-06-04	2951
1895	1895-06-04	2953
1895	1895-06-04	2961
1895	1895-06-04	3096
1895	1895-06-04	4185
1895	1895-06-11	2911
1895	1895-06-11	2966
1895	1895-06-11	2991
1895	1895-06-11	2997
1895	1895-06-11	4259
1895	1895-06-11	4431
1895	1895-06-11	4491
1895	1895-06-18	2856
1895	1895-06-18	2893
1895	1895-06-18	3006
1895	1895-06-18	3020
1895	1895-06-18	3024
1895	1895-06-18	3039
1895	1895-06-18	3321
1895	1895-06-18	4164
1895	1895-06-18	4283
1895	1895-06-25	2451
1895	1895-06-25	3282
1895	1895-06-25	3325
1895	1895-06-25	3338
1895	1895-06-25	4011
1895	1895-06-25	4088
1895	1895-06-25	4089
1895	1895-06-25	4318
1895	1895-06-27	2988
1895	1895-06-27	3001
1895	1895-10-01	3015
1895	1895-10-01	3383
1895	1895-10-01	3403
1895	1895-10-01	3406
1895	1895-10-01	4188
1895	1895-10-01	4407
1895	1895-10-01	4538
1895	1895-10-08	4047
1895	1895-10-08	4309
1895	1895-10-08	4311
1895	1895-10-08	4335
1895	1895-10-08	4484
1895	1895-10-15	3369
1895	1895-10-15	4314
1895	1895-10-15	4378
1895	1895-10-15	4398
1895	1895-10-22	3021
1895	1895-10-22	3047
1895	1895-10-22	3055
1895	1895-10-22	3057
1895	1895-10-22	3866
1895	1895-10-22	4142
1895	1895-10-22	4334
1895	1895-10-22	4475
1895	1895-10-22	4556
1895	1895-10-29	3067
1895	1895-10-29	3071
1895	1895-10-29	3076
1895	1895-10-29	3102
1895	1895-10-29	3117
1895	1895-10-29	3372
1895	1895-10-29	3479
1895	1895-10-29	4066
1895	1895-10-29	4381
1895	1895-10-29	4498
1895	1895-11-12	3122
1895	1895-11-12	3123
1895	1895-11-12	3145
1895	1895-11-12	3148
1895	1895-11-12	3149
1895	1895-11-12	3255
1895	1895-11-12	3327
1895	1895-11-12	3347
1895	1895-11-12	3354
1895	1895-11-19	3109
1895	1895-11-19	3335
1895	1895-11-19	3355
1895	1895-11-19	3362
1895	1895-11-19	3373
1895	1895-11-19	3375
1895	1895-11-19	3388
1895	1895-11-19	3450
1895	1895-11-19	3466
1895	1895-11-19	3469
1895	1895-11-19	3476
1895	1895-11-19	3477
1895	1895-11-19	3480
1895	1895-11-19	3481
1895	1895-11-19	3489
1895	1895-11-19	3513
1895	1895-11-19	3550
1895	1895-11-19	3804
1895	1895-11-19	4616
1895	1895-11-26	3059
1895	1895-11-26	3346
1895	1895-11-26	3490
1895	1895-11-26	3497
1895	1895-11-26	3498
1895	1895-11-26	3501
1895	1895-11-26	4335
1895	1895-11-26	4353
1895	1895-11-26	4365
1895	1895-11-26	4474
1895	1895-11-26	4524
1895	1895-12-03	3500
1895	1895-12-03	3504
1895	1895-12-03	3506
1895	1895-12-03	3515
1895	1895-12-03	4384
1895	1895-12-03	4501
1895	1895-12-03	4507
1895	1895-12-03	4575
1895	1895-12-10	3177
1895	1895-12-10	3179
1895	1895-12-10	3180
1895	1895-12-10	3503
1895	1895-12-10	3517
1895	1895-12-10	3530
1895	1895-12-10	3535
1895	1895-12-10	3543
1895	1895-12-10	3558
1895	1895-12-10	4760
1895	1895-12-17	3191
1895	1895-12-17	3200
1895	1895-12-17	3205
1895	1895-12-17	3256
1895	1895-12-17	3534
1895	1895-12-17	3553
1895	1895-12-17	3557
1895	1895-12-17	3562
1895	1895-12-17	3565
1895	1895-12-17	4294
1895	1895-12-17	4473
1895	1895-12-17	4480
1895	1895-12-17	4594
1895	1895-12-20	3153
1895	1895-12-20	3243
1895	1895-12-20	3563
1895	1895-12-20	3567
1896	1896-01-14	3493
1896	1896-01-14	3658
1896	1896-01-14	3670
1896	1896-01-14	3672
1896	1896-01-14	3673
1896	1896-01-14	3675
1896	1896-01-14	4122
1896	1896-01-14	4123
1896	1896-01-14	4601
1896	1896-01-14	4744
1896	1896-01-21	3253
1896	1896-01-21	3580
1896	1896-01-21	3655
1896	1896-01-21	3656
1896	1896-01-21	3674
1896	1896-01-21	3685
1896	1896-01-21	4304
1896	1896-01-21	4396
1896	1896-01-21	4441
1896	1896-01-21	4604
1896	1896-01-28	3571
1896	1896-01-28	3574
1896	1896-01-28	3575
1896	1896-01-28	3576
1896	1896-01-28	3592
1896	1896-01-28	4579
1896	1896-01-28	4589
1896	1896-02-04	3266
1896	1896-02-04	3269
1896	1896-02-04	3278
1896	1896-02-04	3547
1896	1896-02-04	3568
1896	1896-02-04	3586
1896	1896-02-04	3587
1896	1896-02-04	3596
1896	1896-02-04	3597
1896	1896-02-04	3598
1896	1896-02-04	3600
1896	1896-02-04	3606
1896	1896-02-04	3609
1896	1896-02-04	3613
1896	1896-02-04	3615
1896	1896-02-04	3617
1896	1896-02-04	3625
1896	1896-02-04	3641
1896	1896-02-04	3644
1896	1896-02-04	3667
1896	1896-02-04	4669
1896	1896-02-07	3299; 3300; 3301; 3302; 3303; 3304; 3305; 3306; 3307; 3308; 3309; 3310; 3312; 3313; 3314; 3316; 3317; 3318
1896	1896-02-07	3623
1896	1896-02-07	3698
1896	1896-02-07	3702
1896	1896-02-07	3706
1896	1896-02-07	3717
